composition_x,gap_ev,alpha_at_gap_cm1,temperature_k,primary_experiment_reference,secondary_transcription_reference,composition_provenance_status,uncertainty_status,claim_boundary
0.170,0.124,1400,300,"Chu, Mi, Tang, Infrared Physics 32 (1991) 195-211, DOI 10.1016/0020-0891(91)90110-2","Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), Table 4.4, DOI 10.1007/978-0-387-74801-6",not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_screen_not_fit_authority
0.200,0.161,1600,300,"Chu, Mi, Tang, Infrared Physics 32 (1991) 195-211, DOI 10.1016/0020-0891(91)90110-2","Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), Table 4.4, DOI 10.1007/978-0-387-74801-6",not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_screen_not_fit_authority
0.226,0.205,1750,300,"Chu, Mi, Tang, Infrared Physics 32 (1991) 195-211, DOI 10.1016/0020-0891(91)90110-2","Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), Table 4.4, DOI 10.1007/978-0-387-74801-6",not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_screen_not_fit_authority
0.276,0.273,2150,300,"Chu, Mi, Tang, Infrared Physics 32 (1991) 195-211, DOI 10.1016/0020-0891(91)90110-2","Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), Table 4.4, DOI 10.1007/978-0-387-74801-6",not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_screen_not_fit_authority
0.330,0.347,2450,300,"Chu, Mi, Tang, Infrared Physics 32 (1991) 195-211, DOI 10.1016/0020-0891(91)90110-2","Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), Table 4.4, DOI 10.1007/978-0-387-74801-6",not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_screen_not_fit_authority
0.366,0.396,2650,300,"Chu, Mi, Tang, Infrared Physics 32 (1991) 195-211, DOI 10.1016/0020-0891(91)90110-2","Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), Table 4.4, DOI 10.1007/978-0-387-74801-6",not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_screen_not_fit_authority
0.416,0.470,2700,300,"Chu, Mi, Tang, Infrared Physics 32 (1991) 195-211, DOI 10.1016/0020-0891(91)90110-2","Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), Table 4.4, DOI 10.1007/978-0-387-74801-6",not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_screen_not_fit_authority
0.443,0.507,2850,300,"Chu, Mi, Tang, Infrared Physics 32 (1991) 195-211, DOI 10.1016/0020-0891(91)90110-2","Chu and Sher, Physics and Properties of Narrow Gap Semiconductors (2008), Table 4.4, DOI 10.1007/978-0-387-74801-6",not_recovered_from_primary_article,not_reported_in_secondary_table,secondary_transcription_for_external_screen_not_fit_authority
