source_key,doi,figure,panel,point_index,sample_number,composition_x_reported,composition_sigma_x,composition_provenance,composition_independent_for_composition_law,measurement_class,temperature_k_digitized,gap_mev_digitized,marker_center_x_px,marker_center_y_px,x_axis_left_px,x_axis_right_px,y_axis_top_px,y_axis_bottom_px,x_axis_min_k,x_axis_max_k,y_axis_min_mev,y_axis_max_mev,temperature_digitization_half_width_k,gap_digitization_half_width_mev,pointwise_experimental_gap_uncertainty,source_pdf_sha256
seiler1990,10.1116/1.576952,7,b,1,2,0.253000,,gap_assigned_with_HSC,false,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,4.376784,146.179775,1931,2035,1908,2959,1333,2134,0,200,140,190,0.380590,0.124844,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,b,2,2,0.253000,,gap_assigned_with_HSC,false,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,9.324453,146.429463,1957,2031,1908,2959,1333,2134,0,200,140,190,0.380590,0.124844,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,b,3,2,0.253000,,gap_assigned_with_HSC,false,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,14.272122,147.802746,1983,2009,1908,2959,1333,2134,0,200,140,190,0.380590,0.124844,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,b,4,2,0.253000,,gap_assigned_with_HSC,false,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,19.600381,149.300874,2011,1985,1908,2959,1333,2134,0,200,140,190,0.380590,0.124844,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,b,5,2,0.253000,,gap_assigned_with_HSC,false,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,29.876308,152.546816,2065,1933,1908,2959,1333,2134,0,200,140,190,0.380590,0.124844,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,b,6,2,0.253000,,gap_assigned_with_HSC,false,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,39.771646,154.294632,2117,1905,1908,2959,1333,2134,0,200,140,190,0.380590,0.124844,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,b,7,2,0.253000,,gap_assigned_with_HSC,false,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,54.995243,160.037453,2197,1813,1908,2959,1333,2134,0,200,140,190,0.380590,0.124844,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,b,8,2,0.253000,,gap_assigned_with_HSC,false,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,70.218839,165.280899,2277,1729,1908,2959,1333,2134,0,200,140,190,0.380590,0.124844,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,b,9,2,0.253000,,gap_assigned_with_HSC,false,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,99.143673,174.144819,2429,1587,1908,2959,1333,2134,0,200,140,190,0.380590,0.124844,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,b,10,2,0.253000,,gap_assigned_with_HSC,false,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,118.934348,179.637953,2533,1499,1908,2959,1333,2134,0,200,140,190,0.380590,0.124844,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,b,11,2,0.253000,,gap_assigned_with_HSC,false,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,147.859182,187.627965,2685,1371,1908,2959,1333,2134,0,200,140,190,0.380590,0.124844,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,c,1,3,0.259000,0.0015,wet_chemistry_tied_supplier_value,true,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,5.243089,158.767123,1975,3034,1920,2969,2407,3210,0,100,150,190,0.190658,0.099626,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,c,2,3,0.259000,0.0015,wet_chemistry_tied_supplier_value,true,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,7.721640,158.767123,2001,3034,1920,2969,2407,3210,0,100,150,190,0.190658,0.099626,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,c,3,3,0.259000,0.0015,wet_chemistry_tied_supplier_value,true,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,10.200191,158.667497,2027,3036,1920,2969,2407,3210,0,100,150,190,0.190658,0.099626,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,c,4,3,0.259000,0.0015,wet_chemistry_tied_supplier_value,true,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,14.775977,159.663761,2075,3016,1920,2969,2407,3210,0,100,150,190,0.190658,0.099626,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,c,5,3,0.259000,0.0015,wet_chemistry_tied_supplier_value,true,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,19.542421,160.759651,2125,2994,1920,2969,2407,3210,0,100,150,190,0.190658,0.099626,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,c,6,3,0.259000,0.0015,wet_chemistry_tied_supplier_value,true,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,28.122021,162.154421,2215,2966,1920,2969,2407,3210,0,100,150,190,0.190658,0.099626,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,c,7,3,0.259000,0.0015,wet_chemistry_tied_supplier_value,true,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,37.845567,165.740971,2317,2894,1920,2969,2407,3210,0,100,150,190,0.190658,0.099626,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,c,8,3,0.259000,0.0015,wet_chemistry_tied_supplier_value,true,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,52.335558,171.021171,2469,2788,1920,2969,2407,3210,0,100,150,190,0.190658,0.099626,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
seiler1990,10.1116/1.576952,7,c,9,3,0.259000,0.0015,wet_chemistry_tied_supplier_value,true,two_photon_magnetoabsorption_modified_Pidgeon_Brown_gap,75.023832,178.592777,2707,2636,1920,2969,2407,3210,0,100,150,190,0.190658,0.099626,not_reported_for_figure7,5bc624ca8292fcba72ae55d13c5be03d07af03b57afc4584c2314ca08e459a49
