parameter_id,source_id,composition_x,temperature_k,gap_eV,band_edge_mass_m0,band_edge_g_factor,table1_sample_numbers,evidence_layer,independent_gap_observation,provenance_status,source_location,notes
DN77_BP_X0165,DORNHAUS1977_HSC_R13,0.165,4.2,0.014,0.0012,-800,1,source_tabulated_transport_model_parameter,false,current_paper_does_not_describe_independent_gap_extraction,page 43 Table 1,Values repeat by composition and are not raw transverse-magnetoresistance observables
DN77_BP_X0170,DORNHAUS1977_HSC_R13,0.170,4.2,0.0245,0.0020,-500,2,source_tabulated_transport_model_parameter,false,current_paper_does_not_describe_independent_gap_extraction,page 43 Table 1,Values repeat by composition and are not raw transverse-magnetoresistance observables
DN77_BP_X0185,DORNHAUS1977_HSC_R13,0.185,4.2,0.047,0.0042,-240,3,source_tabulated_transport_model_parameter,false,current_paper_does_not_describe_independent_gap_extraction,page 43 Table 1,Values repeat by composition and are not raw transverse-magnetoresistance observables
DN77_BP_X0200,DORNHAUS1977_HSC_R13,0.200,4.2,0.070,0.0065,-156,4;5;6;7;9,source_tabulated_transport_model_parameter,false,current_paper_does_not_describe_independent_gap_extraction,page 43 Table 1,Values repeat by composition and are not raw transverse-magnetoresistance observables
DN77_BP_X0216,DORNHAUS1977_HSC_R13,0.216,4.2,0.096,0.0088,-105,8,source_tabulated_transport_model_parameter,false,current_paper_does_not_describe_independent_gap_extraction,page 43 Table 1,Values repeat by composition and are not raw transverse-magnetoresistance observables
