energy_ev,absorption_cm1,energy_sigma_ev,log10_absorption_sigma,source_pixel_x,source_pixel_y_center,source_pixel_y_min,source_pixel_y_max
0.376842105,6029.131789,0.000526316,0.009554140,408,49.500,49,50
0.377894737,6073.506358,0.000526316,0.012738854,411,49.000,48,50
0.378947368,6118.207525,0.000526316,0.009554140,414,48.500,48,49
0.380000000,6118.207525,0.000526316,0.009554140,417,48.500,48,49
0.381052632,6208.599285,0.000526316,0.009554140,420,47.500,47,48
0.382105263,6208.599285,0.000526316,0.009554140,423,47.500,47,48
0.383157895,6254.294740,0.000526316,0.012738854,426,47.000,46,48
0.384210526,6300.326514,0.000526316,0.009554140,429,46.500,46,47
0.385263158,6300.326514,0.000526316,0.009554140,432,46.500,46,47
0.386315789,6346.697083,0.000526316,0.012738854,435,46.000,45,47
0.387368421,6393.408941,0.000526316,0.009554140,438,45.500,45,46
0.388421053,6440.464600,0.000526316,0.012738854,441,45.000,44,46
0.389473684,6487.866589,0.000526316,0.009554140,444,44.500,44,45
0.390526316,6487.866589,0.000526316,0.009554140,447,44.500,44,45
0.391578947,6535.617458,0.000526316,0.012738854,450,44.000,43,45
0.392631579,6583.719775,0.000526316,0.009554140,453,43.500,43,44
0.393684211,6583.719775,0.000526316,0.009554140,456,43.500,43,44
0.394736842,6632.176126,0.000526316,0.012738854,459,43.000,42,44
0.395789474,6680.989117,0.000526316,0.009554140,462,42.500,42,43
0.396842105,6730.161373,0.000526316,0.012738854,465,42.000,41,43
0.397894737,6779.695539,0.000526316,0.009554140,468,41.500,41,42
0.398947368,6779.695539,0.000526316,0.009554140,471,41.500,41,42
0.400000000,6779.695539,0.000526316,0.009554140,474,41.500,41,42
